date,zone,ema_bias,opt,atm,strike,strike_type,entry_time,target_pct,sl_param,sl_type,ep,xp,exit_reason,pnl,iv_proxy,prev_body,dte
2022-08-29,below_s4,bear,CE,17200,17150,ITM1,09:16:02,0.2,0.5,pct,187.8,220.85,eod,-2478.75,1.092,0.258,3
2022-09-02,tc_to_pdh,bull,PE,17600,17650,ITM1,09:25:02,0.2,75.0,spot,186.9,249.55,spot_sl,-4698.75,1.062,0.221,6
2022-09-05,tc_to_pdh,bull,PE,17550,17600,ITM1,09:25:02,0.2,75.0,spot,137.45,107.65,target,2235.0,0.783,0.446,3
2022-09-09,r2_to_r3,bull,PE,17900,17900,ATM,09:20:02,0.2,1.5,pct,131.35,167.2,eod,-2688.75,0.734,0.263,6
2022-09-12,tc_to_pdh,bull,PE,17900,17950,ITM1,09:25:02,0.2,75.0,spot,141.95,113.5,target,2133.75,0.793,0.402,3
2022-09-13,r2_to_r3,bull,PE,18050,18050,ATM,09:20:02,0.2,1.5,pct,107.4,85.3,target,1657.5,0.595,0.185,2
2022-09-20,r1_to_r2,bull,PE,17750,17700,OTM1,09:16:02,0.5,1.0,pct,89.4,66.5,eod,1717.5,0.503,0.487,2
2022-09-26,s1_to_s2,bear,CE,17200,17200,ATM,09:16:02,0.5,2.0,pct,152.6,75.85,target,5756.25,0.888,1.565,3
2022-09-28,s1_to_s2,bear,CE,16900,16900,ATM,09:16:02,0.5,2.0,pct,96.55,56.9,eod,2973.75,0.572,0.425,1
2022-10-03,tc_to_pdh,bear,PE,17050,17000,OTM1,09:31:02,0.5,25.0,spot,141.35,185.3,eod,-3296.25,0.828,1.797,3
2022-10-04,r1_to_r2,bear,PE,17150,17150,ATM,09:20:02,0.5,2.0,pct,85.6,42.75,target,3213.75,0.5,1.13,2
2022-10-07,pdl_to_s1,bear,CE,17300,17250,ITM1,09:20:02,0.2,2.0,pct,179.45,143.5,target,2696.25,1.037,0.358,6
2022-10-11,tc_to_pdh,bear,PE,17250,17200,OTM1,09:31:02,0.5,25.0,spot,119.2,257.35,eod,-10361.25,0.691,0.855,2
2022-10-14,r3_to_r4,bull,PE,17300,17350,ITM1,09:25:02,0.2,0.5,pct,180.7,143.95,target,2756.25,1.045,0.51,6
2022-10-17,pdl_to_s1,bear,CE,17150,17100,ITM1,09:20:02,0.2,2.0,pct,148.55,262.35,eod,-8535.0,0.866,0.517,3
2022-10-19,r2_to_r3,bull,PE,17600,17600,ATM,09:20:02,0.2,1.5,pct,97.65,78.0,target,1473.75,0.555,0.242,1
2022-10-25,r2_to_r3,bull,PE,17800,17800,ATM,09:20:02,0.2,1.5,pct,111.1,88.55,target,1691.25,0.624,0.227,2
2022-10-28,tc_to_pdh,bull,PE,17750,17800,ITM1,09:25:02,0.2,75.0,spot,125.05,130.85,eod,-435.0,0.704,0.105,6
2022-11-04,tc_to_pdh,bull,PE,18050,18100,ITM1,09:25:02,0.2,75.0,spot,143.9,112.4,target,2362.5,0.797,0.419,6
2022-11-11,r3_to_r4,bull,PE,18300,18350,ITM1,09:25:02,0.2,0.5,pct,120.25,90.25,target,2250.0,0.658,0.191,6
2022-11-15,tc_to_pdh,bull,PE,18350,18400,ITM1,09:25:02,0.2,75.0,spot,94.75,75.3,target,1458.75,0.516,0.329,2
2022-11-16,tc_to_pdh,bull,PE,18400,18450,ITM1,09:25:02,0.2,75.0,spot,102.9,82.1,target,1560.0,0.559,0.267,1
2022-11-18,tc_to_pdh,bull,PE,18400,18450,ITM1,09:25:02,0.2,75.0,spot,150.6,177.35,spot_sl,-2006.25,0.819,0.165,6
2022-11-21,pdl_to_bc,bull,PE,18250,18200,OTM1,09:31:02,0.2,1.5,pct,94.75,91.6,eod,236.25,0.519,0.438,3
2022-11-22,tc_to_pdh,bull,PE,18200,18250,ITM1,09:25:02,0.2,75.0,spot,116.1,92.45,target,1773.75,0.638,0.593,2
2022-12-05,tc_to_pdh,bull,PE,18750,18800,ITM1,09:25:02,0.2,75.0,spot,149.0,173.0,spot_sl,-1800.0,0.796,0.371,3
2022-12-16,pdl_to_s1,bear,CE,18350,18300,ITM1,09:20:02,0.2,2.0,pct,150.5,120.2,target,2272.5,0.821,1.2,6
2022-12-23,s1_to_s2,bear,CE,18000,18000,ATM,09:16:02,0.5,2.0,pct,195.3,97.65,target,7323.75,1.085,0.969,6
2022-12-27,tc_to_pdh,bear,PE,18100,18050,OTM1,09:31:02,0.5,25.0,spot,95.65,96.5,lockin_sl,-63.75,0.529,0.995,2
2023-01-04,tc_to_pdh,bull,PE,18250,18300,ITM1,09:25:02,0.2,75.0,spot,110.7,180.9,spot_sl,-5265.0,0.607,0.248,1
2023-01-06,tc_to_pdh,bear,PE,18000,17950,OTM1,09:31:02,0.5,25.0,spot,91.8,92.0,lockin_sl,-15.0,0.51,0.482,6
2023-01-10,tc_to_pdh,bear,PE,18150,18100,OTM1,09:31:02,0.5,25.0,spot,116.55,195.0,eod,-5883.75,0.643,0.704,2
2023-01-13,tc_to_pdh,bear,PE,17850,17800,OTM1,09:31:02,0.5,25.0,spot,112.3,55.8,target,4237.5,0.628,0.369,6
2023-01-20,tc_to_pdh,bull,PE,18100,18150,ITM1,09:25:02,0.2,75.0,spot,113.25,90.1,target,1736.25,0.625,0.144,5
2023-01-31,pdh_to_r1,bear,PE,17750,17700,OTM1,09:20:02,0.5,0.5,pct,201.65,131.45,eod,5265.0,1.137,0.508,2
